id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
804,261,HIJO(A),MUJER,25,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 3:18,1
805,261,HIJO(A),MUJER,20,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 3:18,1
806,262,PADRE,HOMBRE,75,CAMPESINO,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/14/2017 17:22,1
807,262,MADRE,MUJER,56,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 17:22,1
808,262,HIJO(A),HOMBRE,38,ALBAÑIL,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 17:23,1
809,262,HIJO(A),MUJER,30,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 17:23,1
810,263,PADRE,HOMBRE,56,ALBAÑIL,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/14/2017 17:53,1
811,263,MADRE,MUJER,42,AMA DE CASA,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/14/2017 17:53,1
812,263,HIJO(A),HOMBRE,22,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 17:54,1
813,263,HIJO(A),HOMBRE,26,JORNALERO,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/14/2017 17:54,1
814,265,PADRE,HOMBRE,0,ALBAÑIL,NO ESTUDIA,AVECES,SI,OVINOS-CAPRINOS,05/07/2018 12:09,9/14/2017 18:21,1
815,266,PADRE,HOMBRE,75,CAMPESINO,NO ESTUDIA,AVECES,SI,OVINOS-CAPRINOS Y EQUINOS,05/07/2018 12:09,9/14/2017 18:43,1
816,185,PADRE,HOMBRE,51,ALBAÑIL,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/15/2017 17:11,1
817,185,MADRE,MUJER,40,CAMPESINO,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 17:11,1
818,185,HIJO(A),MUJER,21,OTROS,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,9/15/2017 17:12,1
819,185,HIJO(A),HOMBRE,19,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 17:12,1
820,185,HIJO(A),MUJER,17,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 17:13,1
821,186,MADRE,MUJER,53,CAMPESINO,NO ESTUDIA,AVECES,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,9/15/2017 17:34,1
822,186,HIJO(A),HOMBRE,27,OTROS,NO ESTUDIA,AVECES,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,9/15/2017 17:36,1
823,186,HIJO(A),HOMBRE,21,CAMPESINO,NO ESTUDIA,AVECES,NO,BOVINOS Y PORCINOS,05/07/2018 12:09,9/15/2017 17:37,1
824,186,HIJO(A),MUJER,22,AMA DE CASA,NO ESTUDIA,AVECES,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,9/15/2017 17:38,1
825,186,NUERA,MUJER,29,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/08/2018 15:02,9/15/2017 17:38,1
826,186,NIETO(A),HOMBRE,3,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 17:39,1
827,186,NIETO(A),MUJER,1,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 17:39,1
828,187,PADRE,HOMBRE,55,OTROS,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/15/2017 19:54,1
829,187,MADRE,MUJER,55,TRABAJA EN TIENDA,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/15/2017 19:56,1
830,187,HIJO(A),MUJER,21,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 19:56,1
831,187,HIJO(A),HOMBRE,17,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/15/2017 19:57,1
832,188,PADRE,HOMBRE,56,CAMPESINO,NO ESTUDIA,NO,SI,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,9/15/2017 21:14,1
833,188,MADRE,MUJER,53,CAMPESINO,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,9/15/2017 21:16,1
