id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
662,69,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 18:33,0.016438
1176,102,COMPRA,PESCADOS,Non,MOJARRAS,MICHI,mercado,EN EL MERCADO O TIANGUIS,CADA DOS MESES,CADA 2 MESES,,03/05/2018 15:27,11/08/2017 17:54,0.016438
1189,120,COMPRA,ALIMENTOS PREPARADOS ,Non,TAMALES,TAMALI,Tianguis ,EN EL MERCADO O TIANGUIS,CADA 2 MESES,CADA 2 MESES,,03/05/2018 15:27,25/07/2017 04:17,0.016438
1210,121,COMPRA,CARNE,Non,CARNE DE PUERCO ,PITSONAJKATL,tianguis ,EN EL MERCADO O TIANGUIS,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 15:27,25/07/2017 15:58,0.016438
1235,123,COMPRA,ALIMENTOS PREPARADOS ,Non,TAMALES ,TAMALIJ ,tianguis ,EN EL MERCADO O TIANGUIS,CADA 2 MESES ,CADA 2 MESES,4 TAMALES ,03/05/2018 15:27,26/07/2017 04:53,0.016438
1249,124,COMPRA,BEBIDAS ,Non,CAFÉ ,CAFEJ ,MILPA ,EN LA MILPA,CADA 2 MESES,CADA 2 MESES, 1 KILO ,03/05/2018 15:27,26/07/2017 16:49,0.016438
1257,124,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,JAMÓN,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 15:27,26/07/2017 16:57,0.016438
1263,124,COMPRA,BEBIDAS ,Non,CAFÉ ,CAFEJ ,mercado ,EN EL MERCADO O TIANGUIS,cada 2 meses ,CADA 2 MESES,3 VASOS ,03/05/2018 15:27,26/07/2017 17:06,0.016438
1276,125,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,CHILES EN VINAGRE,CHILIJ ,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 MESES ,CADA 2 MESES,1 LATA,03/05/2018 15:27,28/07/2017 01:01,0.016438
1343,129,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,JAMÓN ,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 MESES ,CADA 2 MESES,½ DE JAMÓN ,03/05/2018 15:27,04/08/2017 03:49,0.016438
